Sample,Dimension,Sobol,Faure,Uniform
114,1,0.29296875,0.84765625,0.57044398
115,1,0.79296875,0.22265625,0.19598286
116,1,0.54296875,0.72265625,0.52083427
117,1,0.04296875,0.47265625,0.04522729
118,1,0.05859375,0.97265625,0.96117203
119,1,0.55859375,0.01953125,0.32533033
120,1,0.80859375,0.51953125,0.84453385
121,1,0.30859375,0.26953125,0.38867729
122,1,0.43359375,0.76953125,0.74732011
123,1,0.93359375,0.14453125,0.27134903
124,1,0.68359375,0.64453125,0.53969213
125,1,0.18359375,0.39453125,0.82873751
126,1,0.24609375,0.89453125,0.58675117
127,1,0.74609375,0.08203125,0.35675333
128,1,0.99609375,0.58203125,0.96525531
129,1,0.49609375,0.33203125,0.28093451
130,1,0.37109375,0.83203125,0.60703425
131,1,0.87109375,0.20703125,0.54269609
132,1,0.62109375,0.70703125,0.27599918
133,1,0.12109375,0.45703125,0.14092422
134,1,0.08984375,0.95703125,0.29627351
135,1,0.58984375,0.05078125,0.80219698
136,1,0.83984375,0.55078125,0.16526694
137,1,0.33984375,0.30078125,0.07455064
138,1,0.46484375,0.80078125,0.01563640
139,1,0.96484375,0.17578125,0.98688693
140,1,0.71484375,0.67578125,0.42340148
141,1,0.21484375,0.42578125,0.77224477
142,1,0.15234375,0.92578125,0.39488152
143,1,0.65234375,0.11328125,0.19871568
144,1,0.90234375,0.61328125,0.29348818
145,1,0.40234375,0.36328125,0.00552212
146,1,0.27734375,0.86328125,0.01407982
147,1,0.77734375,0.23828125,0.81546143
148,1,0.52734375,0.73828125,0.19884240
149,1,0.02734375,0.48828125,0.70685734
150,1,0.01953125,0.98828125,0.71134195
151,1,0.51953125,0.01171875,0.72900716
152,1,0.76953125,0.51171875,0.79017554
153,1,0.26953125,0.26171875,0.77127034
154,1,0.39453125,0.76171875,0.60595998
155,1,0.89453125,0.13671875,0.07404465
156,1,0.64453125,0.63671875,0.92630088
157,1,0.14453125,0.38671875,0.35846573
158,1,0.20703125,0.88671875,0.65107703
159,1,0.70703125,0.07421875,0.11586905
160,1,0.95703125,0.57421875,0.91495968
161,1,0.45703125,0.32421875,0.86310342
162,1,0.33203125,0.82421875,0.85003858
163,1,0.83203125,0.19921875,0.62329813
164,1,0.58203125,0.69921875,0.44945067
165,1,0.08203125,0.44921875,0.33089802
166,1,0.11328125,0.94921875,0.09541012
167,1,0.61328125,0.04296875,0.06355835
168,1,0.86328125,0.54296875,0.37081826
169,1,0.36328125,0.29296875,0.31098232
170,1,0.48828125,0.79296875,0.66884126
171,1,0.98828125,0.16796875,0.32518332
172,1,0.73828125,0.66796875,0.66592235
173,1,0.23828125,0.41796875,0.72960617
174,1,0.17578125,0.91796875,0.59129779
175,1,0.67578125,0.10546875,0.63755747
176,1,0.92578125,0.60546875,0.27472179
177,1,0.42578125,0.35546875,0.88721274
178,1,0.30078125,0.85546875,0.56124342
179,1,0.80078125,0.23046875,0.47221492
180,1,0.55078125,0.73046875,0.38292687
181,1,0.05078125,0.48046875,0.11959424
182,1,0.03515625,0.98046875,0.97171209
183,1,0.53515625,0.02734375,0.71324478
184,1,0.78515625,0.52734375,0.84891382
185,1,0.28515625,0.27734375,0.76078504
186,1,0.41015625,0.77734375,0.72172952
187,1,0.91015625,0.15234375,0.56127720
188,1,0.66015625,0.65234375,0.23598492
189,1,0.16015625,0.40234375,0.77096719
190,1,0.22265625,0.90234375,0.25606832
191,1,0.72265625,0.08984375,0.49379560
192,1,0.97265625,0.58984375,0.04043359
193,1,0.47265625,0.33984375,0.52273283
194,1,0.34765625,0.83984375,0.71066289
195,1,0.84765625,0.21484375,0.42754102
196,1,0.59765625,0.71484375,0.11089083
197,1,0.09765625,0.46484375,0.02541913
198,1,0.06640625,0.96484375,0.43933651
199,1,0.56640625,0.05859375,0.10789143
200,1,0.81640625,0.55859375,0.20171921
201,1,0.31640625,0.30859375,0.03142919
202,1,0.44140625,0.80859375,0.89576360
203,1,0.94140625,0.18359375,0.63641041
204,1,0.69140625,0.68359375,0.47537022
205,1,0.19140625,0.43359375,0.31435598
206,1,0.12890625,0.93359375,0.56327557
207,1,0.62890625,0.12109375,0.50857069
208,1,0.87890625,0.62109375,0.69551608
209,1,0.37890625,0.37109375,0.90756648
210,1,0.25390625,0.87109375,0.13933145
211,1,0.75390625,0.24609375,0.24929223
212,1,0.50390625,0.74609375,0.60441738
213,1,0.00390625,0.49609375,0.41038292
214,1,0.00585938,0.99609375,0.53984109
215,1,0.50585938,0.00195312,0.75555114
216,1,0.75585938,0.50195312,0.20306123
217,1,0.25585938,0.25195312,0.22879816
218,1,0.38085938,0.75195312,0.94285357
219,1,0.88085938,0.12695312,0.07697991
220,1,0.63085938,0.62695312,0.59886547
221,1,0.13085938,0.37695312,0.28975145
222,1,0.19335938,0.87695312,0.69478494
223,1,0.69335938,0.06445312,0.16122129
224,1,0.94335938,0.56445312,0.88046784
225,1,0.44335938,0.31445312,0.92969765
226,1,0.31835938,0.81445312,0.62435404
227,1,0.81835938,0.18945312,0.80812038
228,1,0.56835938,0.68945312,0.29563369
229,1,0.06835938,0.43945312,0.63340376
230,1,0.09960938,0.93945312,0.10549426
231,1,0.59960938,0.03320312,0.87146059
232,1,0.84960938,0.53320312,0.45653457
233,1,0.34960938,0.28320312,0.80367208
234,1,0.47460938,0.78320312,0.21844044
235,1,0.97460938,0.15820312,0.18657006
236,1,0.72460938,0.65820312,0.41650995
237,1,0.22460938,0.40820312,0.89255900
238,1,0.16210938,0.90820312,0.88328026
239,1,0.66210938,0.09570312,0.53934224
240,1,0.91210938,0.59570312,0.32434502
241,1,0.41210938,0.34570312,0.80744016
242,1,0.28710938,0.84570312,0.12208795
243,1,0.78710938,0.22070312,0.89609130
244,1,0.53710938,0.72070312,0.35629784
245,1,0.03710938,0.47070312,0.31800347
246,1,0.05273438,0.97070312,0.90682845
247,1,0.55273438,0.01757812,0.11005192
248,1,0.80273438,0.51757812,0.27213225
249,1,0.30273438,0.26757812,0.22793516
250,1,0.42773438,0.76757812,0.64769012
251,1,0.92773438,0.14257812,0.42710780
252,1,0.67773438,0.64257812,0.00052038
253,1,0.17773438,0.39257812,0.81801477
254,1,0.24023438,0.89257812,0.35256885
255,1,0.74023438,0.08007812,0.86073058
256,1,0.99023438,0.58007812,0.30478126
257,1,0.49023438,0.33007812,0.00695213
258,1,0.36523438,0.83007812,0.16465585
259,1,0.86523438,0.20507812,0.51074730
260,1,0.61523438,0.70507812,0.53408942
261,1,0.11523438,0.45507812,0.41741100
262,1,0.08398438,0.95507812,0.48482998
263,1,0.58398438,0.04882812,0.22210781
264,1,0.83398438,0.54882812,0.69243603
265,1,0.33398438,0.29882812,0.11986537
266,1,0.45898438,0.79882812,0.26941233
267,1,0.95898438,0.17382812,0.33761517
268,1,0.70898438,0.67382812,0.24412552
269,1,0.20898438,0.42382812,0.94290971
270,1,0.14648438,0.92382812,0.16829105
271,1,0.64648438,0.11132812,0.32320294
272,1,0.89648438,0.61132812,0.21876422
273,1,0.39648438,0.36132812,0.51879062
274,1,0.27148438,0.86132812,0.55810200
275,1,0.77148438,0.23632812,0.70301896
276,1,0.52148438,0.73632812,0.40383617
277,1,0.02148438,0.48632812,0.36362961
278,1,0.02929688,0.98632812,0.06489225
279,1,0.52929688,0.00976562,0.97178208
280,1,0.77929688,0.50976562,0.25391541
281,1,0.27929688,0.25976562,0.96244730
282,1,0.40429688,0.75976562,0.24687606
283,1,0.90429688,0.13476562,0.25178230
284,1,0.65429688,0.63476562,0.69630427
285,1,0.15429688,0.38476562,0.49724850
286,1,0.21679688,0.88476562,0.71227059
287,1,0.71679688,0.07226562,0.30087831
288,1,0.96679688,0.57226562,0.14808693
289,1,0.46679688,0.32226562,0.28484049
290,1,0.34179688,0.82226562,0.99774049
291,1,0.84179688,0.19726562,0.03688695
292,1,0.59179688,0.69726562,0.26678102
293,1,0.09179688,0.44726562,0.60956433
294,1,0.12304688,0.94726562,0.97661495
295,1,0.62304688,0.04101562,0.50267902
296,1,0.87304688,0.54101562,0.41103702
297,1,0.37304688,0.29101562,0.05147876
298,1,0.49804688,0.79101562,0.03305074
299,1,0.99804688,0.16601562,0.27864646
300,1,0.74804688,0.66601562,0.34507125
301,1,0.24804688,0.41601562,0.90826588
302,1,0.18554688,0.91601562,0.63435134
303,1,0.68554688,0.10351562,0.23956189
304,1,0.93554688,0.60351562,0.68070546
305,1,0.43554688,0.35351562,0.14489487
306,1,0.31054688,0.85351562,0.53093458
307,1,0.81054688,0.22851562,0.48945276
308,1,0.56054688,0.72851562,0.44778316
309,1,0.06054688,0.47851562,0.98565046
310,1,0.04492188,0.97851562,0.55289309
311,1,0.54492188,0.02539062,0.24205527
312,1,0.79492188,0.52539062,0.59269672
313,1,0.29492188,0.27539062,0.67213555
314,1,0.41992188,0.77539062,0.08085333
315,1,0.91992188,0.15039062,0.76161961
316,1,0.66992188,0.65039062,0.36965446
317,1,0.16992188,0.40039062,0.23763755
318,1,0.23242188,0.90039062,0.24215994
319,1,0.73242188,0.08789062,0.72821635
320,1,0.98242188,0.58789062,0.80313975
321,1,0.48242188,0.33789062,0.36778313
322,1,0.35742188,0.83789062,0.47030063
323,1,0.85742188,0.21289062,0.63230583
324,1,0.60742188,0.71289062,0.98342314
325,1,0.10742188,0.46289062,0.63352971
326,1,0.07617188,0.96289062,0.39882444
327,1,0.57617188,0.05664062,0.53577468
328,1,0.82617188,0.55664062,0.81643188
329,1,0.32617188,0.30664062,0.09028977
330,1,0.45117188,0.80664062,0.79834512
331,1,0.95117188,0.18164062,0.83530249
332,1,0.70117188,0.68164062,0.15071754
333,1,0.20117188,0.43164062,0.32078007
334,1,0.13867188,0.93164062,0.50819878
335,1,0.63867188,0.11914062,0.18651851
336,1,0.88867188,0.61914062,0.69581281
337,1,0.38867188,0.36914062,0.04077514
338,1,0.26367188,0.86914062,0.85835880
339,1,0.76367188,0.24414062,0.59089295
340,1,0.51367188,0.74414062,0.32595891
341,1,0.01367188,0.49414062,0.67756437
342,1,0.00976562,0.99414062,0.22024105
343,1,0.50976562,0.00585938,0.01658783
344,1,0.75976562,0.50585938,0.71114953
345,1,0.25976562,0.25585938,0.51209305
346,1,0.38476562,0.75585938,0.80950105
347,1,0.88476562,0.13085938,0.22649578
348,1,0.63476562,0.63085938,0.34866599
349,1,0.13476562,0.38085938,0.64517280
350,1,0.19726562,0.88085938,0.09617655
351,1,0.69726562,0.06835938,0.17436643
352,1,0.94726562,0.56835938,0.94052326
353,1,0.44726562,0.31835938,0.69093774
354,1,0.32226562,0.81835938,0.39757202
355,1,0.82226562,0.19335938,0.38673535
356,1,0.57226562,0.69335938,0.51775134
357,1,0.07226562,0.44335938,0.93672999
358,1,0.10351562,0.94335938,0.83771011
359,1,0.60351562,0.03710938,0.13752094
360,1,0.85351562,0.53710938,0.67569012
361,1,0.35351562,0.28710938,0.34106635
362,1,0.47851562,0.78710938,0.73521612
363,1,0.97851562,0.16210938,0.11347353
364,1,0.72851562,0.66210938,0.20907162
365,1,0.22851562,0.41210938,0.92469362
366,1,0.16601562,0.91210938,0.54144797
367,1,0.66601562,0.09960938,0.87733935
368,1,0.91601562,0.59960938,0.69578440
369,1,0.41601562,0.34960938,0.25794163
370,1,0.29101562,0.84960938,0.22855002
371,1,0.79101562,0.22460938,0.65998405
372,1,0.54101562,0.72460938,0.17495492
373,1,0.04101562,0.47460938,0.81722220
374,1,0.05664062,0.97460938,0.98216834
375,1,0.55664062,0.02148438,0.55520081
376,1,0.80664062,0.52148438,0.51663589
377,1,0.30664062,0.27148438,0.52965058
378,1,0.43164062,0.77148438,0.26082918
379,1,0.93164062,0.14648438,0.24185228
380,1,0.68164062,0.64648438,0.99625370
381,1,0.18164062,0.39648438,0.09310276
382,1,0.24414062,0.89648438,0.96541935
383,1,0.74414062,0.08398438,0.89721576
384,1,0.99414062,0.58398438,0.55829345
385,1,0.49414062,0.33398438,0.90041805
386,1,0.36914062,0.83398438,0.88263635
387,1,0.86914062,0.20898438,0.63310146
388,1,0.61914062,0.70898438,0.18870711
389,1,0.11914062,0.45898438,0.33902979
390,1,0.08789062,0.95898438,0.27887135
391,1,0.58789062,0.05273438,0.34920957
392,1,0.83789062,0.55273438,0.70035783
393,1,0.33789062,0.30273438,0.72595568
394,1,0.46289062,0.80273438,0.84666114
395,1,0.96289062,0.17773438,0.89711025
396,1,0.71289062,0.67773438,0.85632429
397,1,0.21289062,0.42773438,0.88708643
398,1,0.15039062,0.92773438,0.40450813
399,1,0.65039062,0.11523438,0.77987554
400,1,0.90039062,0.61523438,0.88777009
401,1,0.40039062,0.36523438,0.64203165
402,1,0.27539062,0.86523438,0.85092845
403,1,0.77539062,0.24023438,0.08413996
404,1,0.52539062,0.74023438,0.93563500
405,1,0.02539062,0.49023438,0.16162871
406,1,0.01757812,0.99023438,0.78534065
407,1,0.51757812,0.01367188,0.89855418
408,1,0.76757812,0.51367188,0.66898825
409,1,0.26757812,0.26367188,0.60642906
410,1,0.39257812,0.76367188,0.58068663
411,1,0.89257812,0.13867188,0.00919705
412,1,0.64257812,0.63867188,0.37228277
413,1,0.14257812,0.38867188,0.10147154
414,1,0.20507812,0.88867188,0.94013344
415,1,0.70507812,0.07617188,0.66350176
416,1,0.95507812,0.57617188,0.97366384
417,1,0.45507812,0.32617188,0.00506159
418,1,0.33007812,0.82617188,0.28392098
419,1,0.83007812,0.20117188,0.16080806
420,1,0.58007812,0.70117188,0.30536386
421,1,0.08007812,0.45117188,0.54873379
422,1,0.11132812,0.95117188,0.48561375
423,1,0.61132812,0.04492188,0.69189520
424,1,0.86132812,0.54492188,0.44842414
425,1,0.36132812,0.29492188,0.65196126
426,1,0.48632812,0.79492188,0.99445747
427,1,0.98632812,0.16992188,0.22426931
428,1,0.73632812,0.66992188,0.17592525
429,1,0.23632812,0.41992188,0.71217922
430,1,0.17382812,0.91992188,0.01807536
431,1,0.67382812,0.10742188,0.23724908
432,1,0.92382812,0.60742188,0.49389372
433,1,0.42382812,0.35742188,0.32539970
434,1,0.29882812,0.85742188,0.17882271
435,1,0.79882812,0.23242188,0.74649141
436,1,0.54882812,0.73242188,0.36646879
437,1,0.04882812,0.48242188,0.64963290
438,1,0.03320312,0.98242188,0.74417052
439,1,0.53320312,0.02929688,0.84922341
440,1,0.78320312,0.52929688,0.72093992
441,1,0.28320312,0.27929688,0.65761289
442,1,0.40820312,0.77929688,0.30806079
443,1,0.90820312,0.15429688,0.56830860
444,1,0.65820312,0.65429688,0.54254023
445,1,0.15820312,0.40429688,0.09367477
446,1,0.22070312,0.90429688,0.50881408
447,1,0.72070312,0.09179688,0.36771580
448,1,0.97070312,0.59179688,0.63633262
449,1,0.47070312,0.34179688,0.26520237
450,1,0.34570312,0.84179688,0.25046182
451,1,0.84570312,0.21679688,0.24398964
452,1,0.59570312,0.71679688,0.58987085
453,1,0.09570312,0.46679688,0.97301055
454,1,0.06445312,0.96679688,0.97889286
455,1,0.56445312,0.06054688,0.39309772
456,1,0.81445312,0.56054688,0.48674215
457,1,0.31445312,0.31054688,0.89204655
458,1,0.43945312,0.81054688,0.90609878
459,1,0.93945312,0.18554688,0.63113863
460,1,0.68945312,0.68554688,0.43439437
461,1,0.18945312,0.43554688,0.79481130
462,1,0.12695312,0.93554688,0.35007841
463,1,0.62695312,0.12304688,0.50263710
464,1,0.87695312,0.62304688,0.64510336
465,1,0.37695312,0.37304688,0.57690389
466,1,0.25195312,0.87304688,0.66892406
467,1,0.75195312,0.24804688,0.49251769
468,1,0.50195312,0.74804688,0.86416756
469,1,0.00195312,0.49804688,0.19524299
470,1,0.00292969,0.99804688,0.23018527
471,1,0.50292969,0.00097656,0.72245212
472,1,0.75292969,0.50097656,0.49919338
473,1,0.25292969,0.25097656,0.28077236
474,1,0.37792969,0.75097656,0.57200420
475,1,0.87792969,0.12597656,0.02431596
476,1,0.62792969,0.62597656,0.76855402
477,1,0.12792969,0.37597656,0.64547230
478,1,0.19042969,0.87597656,0.04360378
479,1,0.69042969,0.06347656,0.17711068
480,1,0.94042969,0.56347656,0.99455051
481,1,0.44042969,0.31347656,0.94045859
482,1,0.31542969,0.81347656,0.46994451
483,1,0.81542969,0.18847656,0.95392858
484,1,0.56542969,0.68847656,0.27956034
485,1,0.06542969,0.43847656,0.91486439
486,1,0.09667969,0.93847656,0.88349402
487,1,0.59667969,0.03222656,0.37015870
488,1,0.84667969,0.53222656,0.74771878
489,1,0.34667969,0.28222656,0.01545661
490,1,0.47167969,0.78222656,0.95307184
491,1,0.97167969,0.15722656,0.92831857
492,1,0.72167969,0.65722656,0.33075031
493,1,0.22167969,0.40722656,0.42818415
494,1,0.15917969,0.90722656,0.55276496
495,1,0.65917969,0.09472656,0.96665482
496,1,0.90917969,0.59472656,0.57229247
497,1,0.40917969,0.34472656,0.96361997
498,1,0.28417969,0.84472656,0.98033158
499,1,0.78417969,0.21972656,0.85300945
500,1,0.53417969,0.71972656,0.07534626
501,1,0.03417969,0.46972656,0.29444890
502,1,0.04980469,0.96972656,0.30569702
503,1,0.54980469,0.01660156,0.38509773
504,1,0.79980469,0.51660156,0.19091103
505,1,0.29980469,0.26660156,0.85113667
506,1,0.42480469,0.76660156,0.26847485
507,1,0.92480469,0.14160156,0.31692201
508,1,0.67480469,0.64160156,0.48527987
509,1,0.17480469,0.39160156,0.16949275
510,1,0.23730469,0.89160156,0.37268687
511,1,0.73730469,0.07910156,0.55680127
512,1,0.98730469,0.57910156,0.39469146
513,1,0.48730469,0.32910156,0.93615477
514,1,0.36230469,0.82910156,0.84421314
515,1,0.86230469,0.20410156,0.69602980
516,1,0.61230469,0.70410156,0.93001683
517,1,0.11230469,0.45410156,0.57006117
518,1,0.08105469,0.95410156,0.07041613
519,1,0.58105469,0.04785156,0.09717650
520,1,0.83105469,0.54785156,0.20891872
521,1,0.33105469,0.29785156,0.61500723
522,1,0.45605469,0.79785156,0.67114351
523,1,0.95605469,0.17285156,0.99005385
524,1,0.70605469,0.67285156,0.35864679
525,1,0.20605469,0.42285156,0.14008401
526,1,0.14355469,0.92285156,0.25416365
527,1,0.64355469,0.11035156,0.51832966
528,1,0.89355469,0.61035156,0.29529058
529,1,0.39355469,0.36035156,0.87737307
530,1,0.26855469,0.86035156,0.32255076
531,1,0.76855469,0.23535156,0.74076862
532,1,0.51855469,0.73535156,0.84866979
533,1,0.01855469,0.48535156,0.69701574
534,1,0.02636719,0.98535156,0.13662133
535,1,0.52636719,0.00878906,0.70248408
536,1,0.77636719,0.50878906,0.70891100
537,1,0.27636719,0.25878906,0.35949115
538,1,0.40136719,0.75878906,0.55281998
539,1,0.90136719,0.13378906,0.29359185
540,1,0.65136719,0.63378906,0.29651014
541,1,0.15136719,0.38378906,0.80936116
542,1,0.21386719,0.88378906,0.41978086
543,1,0.71386719,0.07128906,0.81011339
544,1,0.96386719,0.57128906,0.25620694
545,1,0.46386719,0.32128906,0.86707232
546,1,0.33886719,0.82128906,0.61151371
547,1,0.83886719,0.19628906,0.91324055
548,1,0.58886719,0.69628906,0.08159418
549,1,0.08886719,0.44628906,0.51134240
550,1,0.12011719,0.94628906,0.00518486
551,1,0.62011719,0.04003906,0.50151630
552,1,0.87011719,0.54003906,0.62789441
553,1,0.37011719,0.29003906,0.79829518
554,1,0.49511719,0.79003906,0.19427395
555,1,0.99511719,0.16503906,0.64996393
556,1,0.74511719,0.66503906,0.07094091
557,1,0.24511719,0.41503906,0.70196688
558,1,0.18261719,0.91503906,0.39678382
559,1,0.68261719,0.10253906,0.79579267
560,1,0.93261719,0.60253906,0.05076853
561,1,0.43261719,0.35253906,0.89000534
562,1,0.30761719,0.85253906,0.88661715
563,1,0.80761719,0.22753906,0.33799516
564,1,0.55761719,0.72753906,0.02761677
565,1,0.05761719,0.47753906,0.37558295
566,1,0.04199219,0.97753906,0.57886490
567,1,0.54199219,0.02441406,0.09398194
568,1,0.79199219,0.52441406,0.43847413
569,1,0.29199219,0.27441406,0.57828014
570,1,0.41699219,0.77441406,0.67202614
571,1,0.91699219,0.14941406,0.03594228
572,1,0.66699219,0.64941406,0.32815267
573,1,0.16699219,0.39941406,0.46559802
574,1,0.22949219,0.89941406,0.15504162
575,1,0.72949219,0.08691406,0.54264463
576,1,0.97949219,0.58691406,0.98184089
577,1,0.47949219,0.33691406,0.28654125
578,1,0.35449219,0.83691406,0.83893350
579,1,0.85449219,0.21191406,0.59083326
580,1,0.60449219,0.71191406,0.86040462
581,1,0.10449219,0.46191406,0.03050025
582,1,0.07324219,0.96191406,0.25025136
583,1,0.57324219,0.05566406,0.03734819
584,1,0.82324219,0.55566406,0.03883473
585,1,0.32324219,0.30566406,0.82260056
586,1,0.44824219,0.80566406,0.30326552
587,1,0.94824219,0.18066406,0.36019064
588,1,0.69824219,0.68066406,0.53708243
589,1,0.19824219,0.43066406,0.12706052
590,1,0.13574219,0.93066406,0.32665124
591,1,0.63574219,0.11816406,0.52224325
592,1,0.88574219,0.61816406,0.82786900
593,1,0.38574219,0.36816406,0.76999356
594,1,0.26074219,0.86816406,0.27154292
595,1,0.76074219,0.24316406,0.21582102
596,1,0.51074219,0.74316406,0.96525183
597,1,0.01074219,0.49316406,0.62289047
598,1,0.01464844,0.99316406,0.45726516
599,1,0.51464844,0.00488281,0.08534746
600,1,0.76464844,0.50488281,0.84202308
601,1,0.26464844,0.25488281,0.05168172
602,1,0.38964844,0.75488281,0.19438004
603,1,0.88964844,0.12988281,0.53135463
604,1,0.63964844,0.62988281,0.41135391
605,1,0.13964844,0.37988281,0.54063512
606,1,0.20214844,0.87988281,0.69951221
607,1,0.70214844,0.06738281,0.63742991
608,1,0.95214844,0.56738281,0.13835309
609,1,0.45214844,0.31738281,0.72609134
610,1,0.32714844,0.81738281,0.13274542
611,1,0.82714844,0.19238281,0.97585208
612,1,0.57714844,0.69238281,0.96953687
613,1,0.07714844,0.44238281,0.51630035
614,1,0.10839844,0.94238281,0.71459510
615,1,0.60839844,0.03613281,0.32295648
616,1,0.85839844,0.53613281,0.04106752
617,1,0.35839844,0.28613281,0.79518620
618,1,0.48339844,0.78613281,0.39882090
619,1,0.98339844,0.16113281,0.27083226
620,1,0.73339844,0.66113281,0.43352074
621,1,0.23339844,0.41113281,0.43897142
622,1,0.17089844,0.91113281,0.74404265
623,1,0.67089844,0.09863281,0.07845638
624,1,0.92089844,0.59863281,0.25086053
625,1,0.42089844,0.34863281,0.02535074
626,1,0.29589844,0.84863281,0.18433367
627,1,0.79589844,0.22363281,0.96264842
628,1,0.54589844,0.72363281,0.08087297
629,1,0.04589844,0.47363281,0.83598012
630,1,0.06152344,0.97363281,0.42831448
631,1,0.56152344,0.02050781,0.69597420
632,1,0.81152344,0.52050781,0.68849990
633,1,0.31152344,0.27050781,0.40895295
634,1,0.43652344,0.77050781,0.05819359
